"ISO3","AREA"
"TWN","7-Asia"
"AFG","7-Asia"
"AGO","6-Africa Sub Sahariana"
"ALB","2-Europa Centro Orientale"
"ARE","5-MENA"
"ARG","4-America Latina"
"ARM","2-Europa Centro Orientale"
"AUS","8-Oceania e Sud Africa"
"AUT","1-Europa Occidentale"
"AZE","2-Europa Centro Orientale"
"BDI","6-Africa Sub Sahariana"
"BEL","1-Europa Occidentale"
"BEN","6-Africa Sub Sahariana"
"BFA","6-Africa Sub Sahariana"
"BGD","7-Asia"
"BGR","2-Europa Centro Orientale"
"BHR","5-MENA"
"BHS","4-America Latina"
"BIH","2-Europa Centro Orientale"
"BLR","2-Europa Centro Orientale"
"BOL","4-America Latina"
"BRA","4-America Latina"
"CAF","6-Africa Sub Sahariana"
"CAN","3-NAFTA"
"CHE","1-Europa Occidentale"
"CHL","4-America Latina"
"CHN","7-Asia"
"CIV","6-Africa Sub Sahariana"
"CMR","6-Africa Sub Sahariana"
"COD","6-Africa Sub Sahariana"
"COL","4-America Latina"
"CRI","4-America Latina"
"CUB","4-America Latina"
"CYP","1-Europa Occidentale"
"CZE","2-Europa Centro Orientale"
"DEU","1-Europa Occidentale"
"DNK","1-Europa Occidentale"
"DOM","4-America Latina"
"DZA","5-MENA"
"ECU","4-America Latina"
"EGY","5-MENA"
"ERI","6-Africa Sub Sahariana"
"ESP","1-Europa Occidentale"
"EST","2-Europa Centro Orientale"
"ETH","6-Africa Sub Sahariana"
"FIN","1-Europa Occidentale"
"FRA","1-Europa Occidentale"
"GAB","6-Africa Sub Sahariana"
"GBR","1-Europa Occidentale"
"GEO","2-Europa Centro Orientale"
"GHA","6-Africa Sub Sahariana"
"GIN","6-Africa Sub Sahariana"
"GNQ","6-Africa Sub Sahariana"
"GRC","1-Europa Occidentale"
"GTM","4-America Latina"
"HKG","7-Asia"
"HND","4-America Latina"
"HRV","2-Europa Centro Orientale"
"HTI","4-America Latina"
"HUN","2-Europa Centro Orientale"
"IDN","7-Asia"
"IND","7-Asia"
"IRL","1-Europa Occidentale"
"IRN","5-MENA"
"IRQ","5-MENA"
"ISL","1-Europa Occidentale"
"ISR","5-MENA"
"ITA","1-Europa Occidentale"
"JAM","4-America Latina"
"JOR","5-MENA"
"JPN","7-Asia"
"KAZ","7-Asia"
"KEN","6-Africa Sub Sahariana"
"KGZ","7-Asia"
"KHM","7-Asia"
"KOR","7-Asia"
"KWT","5-MENA"
"LAO","7-Asia"
"LBN","5-MENA"
"LBR","6-Africa Sub Sahariana"
"LBY","5-MENA"
"LKA","7-Asia"
"LTU","2-Europa Centro Orientale"
"LUX","1-Europa Occidentale"
"LVA","2-Europa Centro Orientale"
"MAR","5-MENA"
"MDA","2-Europa Centro Orientale"
"MDG","6-Africa Sub Sahariana"
"MEX","3-NAFTA"
"MKD","2-Europa Centro Orientale"
"MLI","6-Africa Sub Sahariana"
"MLT","1-Europa Occidentale"
"MMR","7-Asia"
"MNE","2-Europa Centro Orientale"
"MOZ","6-Africa Sub Sahariana"
"MRT","6-Africa Sub Sahariana"
"MUS","6-Africa Sub Sahariana"
"MWI","6-Africa Sub Sahariana"
"MYS","7-Asia"
"NER","6-Africa Sub Sahariana"
"NGA","6-Africa Sub Sahariana"
"NIC","4-America Latina"
"NLD","1-Europa Occidentale"
"NOR","1-Europa Occidentale"
"NPL","7-Asia"
"NZL","8-Oceania e Sud Africa"
"OMN","5-MENA"
"PAK","7-Asia"
"PAN","4-America Latina"
"PER","4-America Latina"
"PHL","7-Asia"
"PNG","8-Oceania e Sud Africa"
"POL","2-Europa Centro Orientale"
"PRT","1-Europa Occidentale"
"PRY","4-America Latina"
"QAT","5-MENA"
"ROM","2-Europa Centro Orientale"
"RUS","2-Europa Centro Orientale"
"RWA","6-Africa Sub Sahariana"
"SAU","5-MENA"
"SDN","6-Africa Sub Sahariana"
"SEN","6-Africa Sub Sahariana"
"SGP","7-Asia"
"SLE","6-Africa Sub Sahariana"
"SLV","4-America Latina"
"SOM","6-Africa Sub Sahariana"
"SRB","2-Europa Centro Orientale"
"SVK","2-Europa Centro Orientale"
"SVN","2-Europa Centro Orientale"
"SWE","1-Europa Occidentale"
"SYR","5-MENA"
"TCD","6-Africa Sub Sahariana"
"TGO","6-Africa Sub Sahariana"
"THA","7-Asia"
"TJK","7-Asia"
"TKM","7-Asia"
"TTO","4-America Latina"
"TUN","5-MENA"
"TUR","5-MENA"
"TZA","6-Africa Sub Sahariana"
"UGA","6-Africa Sub Sahariana"
"UKR","2-Europa Centro Orientale"
"URY","4-America Latina"
"USA","3-NAFTA"
"UZB","7-Asia"
"VEN","4-America Latina"
"VNM","7-Asia"
"YEM","5-MENA"
"ZAF","8-Oceania e Sud Africa"
"ZMB","6-Africa Sub Sahariana"
"ZWE","6-Africa Sub Sahariana"
"ROW","9-Altro"
